,Operator Code,Note Changes,Extra Notes,Status
1814,Minnesota Waste Processing Company,,,
1813,MinnKota Recycling,Should be the same.  Fied due to all uppercase,,
1815,Minnkota Recycling,,,
1816,Mission Recycling,,,
1817,Mission Trail Waste Systems,,,
1818,Mississippi County RSWMB,,,
1819,Mitchell County,,,
1820,Miw Inc,,,
1693,MOASWM Authority Resource Recovery,,,
1694,MOD,,,
1821,Modoc County,,,
1822,Moffat County,,,
1823,Mohave County,,,
1824,Monadnock Disposal Service Inc.,Need to  change Monadnock Disposal Service to Monadnock Disposal Services,,Fixed
1825,Monadnock Disposal Services,,,
1826,Monmouth County,,,
1827,Mono County,,,
1828,Monona County Sanitary Landfill Agency,,,
1829,Monroe Concrete Products,,,
1830,Monroe County,,,
1831,"Monroe's Rubbish Removal, Inc.",,,
1832,"Montana Waste Systems, Inc.",,,
1833,Monterey City Disposal Service,,,
1834,Monterey County,,,
1835,Monterey County Regional Waste Management District,,,
1836,Montezuma County,,,
1837,Montgomery County,,,
1838,Montgomery County Solid Waste District,,,
1839,Montgomery Regional Solid Waste Authority,,,
1840,Montgomery Trucking Inc,,,
1841,Montmorency-Oscoda-Alpena Counties,,,
1842,"Monument Waste Services, LLC",,,
1843,Moore Brothers,,,
1844,Moore's Service Inc,,,
1845,Mora County,,,
1846,Morgan County,,,
1847,Morgan's Sanitation,,,
1848,"Moring Disposal, Inc.",,,
1849,Morrice Transfer Station,,,
1850,Morris County Municipal Utilities Authority,,,
1851,Morrison County,,,
1852,"Morrison's Recycling, Inc.",,,
1853,Mortenson Recycling,,,
1854,Morton County,,,
1855,Moscow Recycling,,,
1856,Mother Earth Waste Management Inc,,,
1857,Moulding & Sons Landfill LLC,,,
1858,Mound City,,,
1859,Mount Laurel Township,,,
1860,Mount Tabor Transfer Station,,,
1861,Mountain Man Scrap and Salvage,,,
1862,Mountain View Recycling,,,
1863,Mountain View Waste Systems,,,
1864,Mower County,,,
1695,MRDN,,,
1865,Mullins Supply Inc.,,,
1866,Multiple Community Services Authority,,,
1867,Municipal District Bonneville No. 87,,,
1868,Municipality of Anchorage,,,
1869,Murray County,,,
1870,Muskegon County,,,
1871,Muskingum County Recycling,,,
1872,Mussellshell County Refuse District,,,
1696,MXI Environmental Services,,,
1873,"N&R&G Recycling, Inc",,,
3492,NA,,,
1874,"NAPA Development Corp., Inc.",,,
1880,Naslund Disposal Service Inc,,,
1881,National Grid-Clean Energy,,,
1882,National Paper Recycling,,,
1883,National Paper Recycling of Manassas,,,
1884,National Transfer Inc,,,
1885,"National Waste Management, Inc.",,,
1886,"National Waste Services, LLC",,,
1887,"Natural Resources Recovery, Inc.",,,
1888,"Naughton & Son Recycling, LLC",,,
1875,NCDEH,,,
1889,Nelson County,,,
1890,Nelson Refining Systems,,,
1891,Nemaha County,,,
1892,Neosho County,,,
1893,Neshoba County,,,
1894,Ness County,,,
1895,Nestucca Valley Recycling Garbage Service,,,
1896,Nevada County Solid Waste Management Authority,,,
1897,New American Recycling,,,
1898,"New England Recycling Company, Inc.",,,
1899,New Hanover County,,,
1900,New Jersey Meadowlands Commission,,,
1901,"New Jersey Rail Logistics, LLC",,,
1902,New Page Corporation,,,
1903,New River Recycling,,,
1904,New River Resource Authority (NRRA),,,
1905,New River Solid Waste Association,,,
1906,New Style Recycling Corp,,,
1907,New York Recycling LLC,,,
1908,Newberry County,,,
1909,Newberry Transfer Station,,,
1910,Newton County,,,
1911,Nicholas County Solid Waste Authority,,,
1912,Noonan Landfill LLC,,,
1876,NORCA,,,
1913,Nordstrom's Sanitation Service,,,
1914,North American Recycling,,,
1915,North Bay Corporation,,,
1916,North Carolina State University,,,
1917,North Central Iowa Regional Solid Waste Agency,,,
1918,North Central Recovery & Recycling,,,
1919,North Central Solid Waste Authority,,,
1920,North Dakota Recycling Services LLC,,,
1921,"North Fork Sanitation, Inc.",,,
1922,North Lincoln Sanitary Service,,,
1923,North Pointe Solid Waste Special Service District,,,
1924,North Schuylkill Landfill Assoc,,,
1925,North Slope Borough,,,
1926,North Texas Municipal Water District,,,
1927,Northampton County,,,
1928,Northcoast Inc. Recycling Specialists,,,
1929,Northeast Arkansas RSWMB,,,
1930,Northeast Indiana Solid Waste Management District,,,
1931,Northeast Kingdom Waste Management District,,,
1932,Northeast Nebraska Solid Waste Coalition (NNSWC),,,
1933,Northeast Recycling Corp.,,,
1934,"Northern A1 Services, Inc.",,,
1935,Northern Katahdin Valley Waste Disposal District,,,
1936,Northern Metals Recycling,,,
1937,Northern Montana Joint Refuse Disposal District,,,
1938,Northern Oxford Regional Solid Waste Board,,,
1939,Northern Plains Regional Landfill,,,
1940,Northern Tier Solid Waste Authority,,,
1941,Northside Carting,,,
1942,Northwest Iowa Area Solid Waste Agency,,,
1943,Northwest NM Regional Waste Authority,,,
1944,Northwest Oklahoma Solid Waste Authority,,,
1945,Northwest Recycling LLC,,,
1946,Northwest South Dakota Regional Landfill,,,
1947,Northwest Vermont Solid Waste Management District,,,
1948,Norton County Landfill,,,
1949,Norton Environmental Inc,,,
1950,Norwalk Industries General Partners,,,
1951,Nottoway County,,,
1877,NRES,,,
1878,NRWS,,,
1952,Nu-Clean LLC,,,
1953,Nu-Way Recycling Corp.,,,
1879,NYDOS,,,
1954,Nye County,,,
1956,Ocean City Recycling Center,,,
1957,Ocean County,,,
1958,Ocean County Landfill Inc.,,,
1959,Oceana County,,,
1960,Oconee County,,,
1961,Oconto County,,,
1962,Ocqueoc Township,,,
1963,"Office Paper Systems, Inc.",,,
1964,Ohio Recycling Inc.,,,
1965,Okaloosa County,,,
1966,Okanogan County,,,
1967,Oklahoma Dept of Corrections,,,
1968,Oklahoma Environmental,,,
1969,Olmsted County,,,
1970,"Omega Waste Management, Inc",,,
1971,Omni Recycling Inc,,,
1955,"OMNI Recycling of Westbury, Inc.",,,
1972,One Source Recycling,,,
1973,Oneida County Solid Waste Department,,,
1974,Oneida Herkimer Solid Waste Authority,,,
1975,Onondaga County Resource Recovery Agency,,,
1976,Onslow County,,,
1977,Ontario Sanitary Service,,,
1978,Orange Avenue Disposal,,,
1979,Orange County,,,
1980,Orange County Integrated Waste Management Department,,,
1981,Orange Grove Recycling Center,,,
1982,Orangeburg County,,,
1983,Orlando Recycling Inc,,,
1984,Osborne County,,,
1985,Osceola Development LLC,,,
1986,Oswego County,,,
1987,Otero County,,,
1988,Otter Recycling Center,,,
1989,Otter Tail County,,,
1990,Ottumwa-Wapello Recycling Center,,,
1991,Ottumwa-Wapello Solid Waste Commission,,,
1992,Outagamie County,,,
1993,Overton County,,,
1994,Owen County,,,
1995,Owyhee County,,,
1996,"P H Waste Collection Service, Inc.",,,
1997,PA Waste Transfer,,,
2002,Pacific Disposal Inc,,,
2003,Pacific Rim Recycling,,,
2004,Pacific West LLC,,,
2005,Page County,,,
2006,Page County Landfill Association,,,
2007,Pahrump Valley Disposal,,,
2008,Pak-A-Way Container Service,,,
2010,Palm Beach County Solid Waste Authority,,,
2009,Palm Beach County SWA,,,
2011,Palm Springs Recycling,,,
2012,"Palmer Electric Technology Energy Services, Inc (P.E.T.E.S.)",,,
2013,Palo Alto County,,,
2014,Panguitch City,,,
2015,Panola County,,,
2016,Panther Waste Systems,,,
2017,PaperWorks Industries,,,
2018,Paragon Carting Company,,,
2019,Paragon Development Group,,,
2020,Parallel Products of New England,,,
2021,Park County,,,
2022,Park County Refuse Disposal District,,,
2024,Parker & Son,,,
2025,Parkersburg MRF,,,
2023,Park's Garbage Service,,,
2026,Pasco County Utilities Services,,,
2027,Pasquotank County,,,
2028,Patrick County,,,
2029,Patrick James Ecycle,,,
2030,Patriot Recycling LLC,,,
2031,Paulding County,,,
2032,Pawnee County,,,
2033,Payette County,,,
1998,PDC,,,
2034,Peacock On-Site Disposal,,,
2035,Pebble Lane Associates LLC,,,
2036,Pellitteri Waste Systems,,,
2037,"Pena's Disposal, Inc.",,,
2038,Pend Oreille County,,,
2039,Pender County,,,
2040,Pendleton Sanitary Service Inc,,,
2041,"Penn Waste, Inc.",,,
2042,Penquis Solid Waste Corporation,,,
2043,Perkins' Good Earth Farm,,,
2044,Perry County,,,
2045,Perry County Recycling Management District,,,
2046,Perry Management Corporation,,,
2047,"Perry Ridge Landfill, Inc.",,,
2048,Perry Township,,,
2049,Pershing County,,,
2050,Pheasant Valley Recycling,,,
2051,"Phillips Bark Processing Company, Inc.",,,
2052,Phillips County,,,
2053,Phoenix Recycling and Shredding,,,
2054,Pickens County,,,
2055,Pickett County,,,
2056,Pierce County,,,
2057,Pike Countryside Sanitation Inc,,,
2058,Pike County,,,
2059,Pinal County,,,
2060,Pine Belt Regional Solid Waste Authority,,,
2061,Pine Mountain Club,,,
2062,"Pioneer Fibers, Inc.",,,
2063,Pioneer Recycling,,,
2064,Piquniq Management Corporation,,,
2065,Piscataquis County,,,
2066,Pitkin County,,,
2067,Pitsch Companies,,,
2068,Pitt County,,,
2069,Pittsburgh Recycling Services LLC,,,
2070,Pittsylvania County,,,
2071,Piute County,,,
2072,Plainfield Municipal Utilities Authority (PMUA),,,
2073,Pleasant River Solid Waste Disposal District,,,
2074,"Pleasanton Garbage Service, Inc.",,,
2075,Plumas County,,,
2076,Plymouth County Solid Waste Agency,,,
2077,Pocahontas County,,,
2078,Pocahontas County Solid Waste Authority,,,
2079,Pocahontas Recycling,,,
2080,Poinsett County,,,
2081,Point Recycling Ltd,,,
2082,Polk County,,,
2083,Polk County Solid Waste Recovery Facility,,,
2084,Pomona Valley Transfer Station,,,
2085,Ponca City,,,
2086,Ponderosa Regional Landfill,,,
2087,Portage County Solid Waste District,,,
2088,Porter Trash Service,,,
2089,Posillico Materials LLC,,,
2090,Potential Industries,,,
2091,Potomac Recycling,,,
2092,Pottawattamie County,,,
2093,Potter County Solid Waste Authority,,,
2094,Powder River County,,,
2095,Power County,,,
2096,Prairie Solid Waste Agency,,,
1999,PRATT,,,
2097,Pratt County,,,
2098,Pratts Disposal,,,
2099,Preble County,,,
2100,Prentiss County,,,
2101,Pride Disposal Service,,,
2102,Prince Edward County,,,
2103,Prince George County,,"Probably different.  One in VA, other in MD",
2104,Prince George's County,,,
2105,Prince William County,,,
2106,"Prison Industry Authority, St. of Calif.",,,
2001,PRo Kansas Recycling Center,,,
2000,PRO Waste Systems,,,
2107,Progressive Development L.L.C.,,,
2108,"Progressive Recycling, Inc.",,,
2109,Pryor Waste and Recycling LLC,,,
2110,Pulaski County,,,
2111,Pulaski County Recycling & Disposal,,,
2112,Putnam County,,,
2113,Putnam County Sanitation Department,,,
2114,"Pythons of St. Cloud, Inc.",,,
2115,QRS Recycling,,,
2116,QRS Recycling Baltimore Re-Poly Facility,,,
2117,QRS Riverside Recycling,,,
2118,Queen Anne's County,,,
2119,Quicksilver Recycling Services,,,
2120,"R & W Container, LLC",,,
2121,R A Bennett Trucking,,,
2122,"R&R Solutions, Inc",,,
2123,"R. M. Sonderquist, Inc.",,,
2124,"R.E.D. Technologies, LLC",,,
2125,R2R Asphalt Shingle Recovery Center,,,
2136,Rabun County,,,
2137,"Railside Environmental Services, LLC",,,
2138,Raleigh County Solid Waste Authority,,,
2139,Rancho Tehama Association,,,
2140,Randolph County,,,
2141,Randy's Environmental Services,,,
2142,"Rapid Removal Solid Waste Transfer Station, LLC.",,,
2143,Rappahannock County,,,
2144,Rappahannock Regional Solid Waste Management Board (R-Board),,,
2145,"Ravenswood Disposal Service, Inc.",,,
2146,Rawlins County,,,
2147,Ray's Transportation Inc.,,,
2148,Ray's Trash Service,,,
2149,"Ray's Trash Service, Inc.",,,
2126,RDS Recycling & Disposal,,,
2127,RDS Recycling Solutions,,,
2152,Realco Recycling Co,,,
2150,Re-Claim Environmental Louisiana,,,
2128,RECOM,,,
2153,Recovered Asset Management,,,
2155,Recycle Depot,,,
2156,Recycle Midwest,,,
2157,Recycle One,,,
2158,"Recycle Transfer Center, Inc.",,,
2154,Recy-Clean,,,
2159,Recycled Earth,,,
2160,Recycled Materials Incorporated,,,
2161,Recycling & Disposal Services Inc.,,,
2162,Recycling Enterprises,,,
2163,Recycling Group Ltd,,,
2164,Recycling Services of Florida,,,
2165,"Recycling Services, Inc.",,,
2166,Recycling Solutions,,,
2167,Recycling Solutions Inc,,,
2168,"Recycling Specialists, Inc.",,,
2169,Redwood County,,,
2170,Redwood/Renville Regional Solid Waste Authority,,,
2171,Reedy Creek Energy Services,,,
2172,Reedy Creek Improvement District,,,
2151,ReEnergy Holdings LLC,,,
2173,Refuse Control Systems Inc,,,
2174,Refuse Disposal Service Co Inc,,,
2175,Region 2000 Services Authority,,,
2176,Region VIII Solid Waste Authority,,,
2177,Regional Environmental Improvement Commission (REIC),,,
2178,Regional Refuse Disposal District,,,
2179,Remediation Services of Louisiana,,,
2129,RENEW Recycling,,,
2180,Reno County,,,
2181,Renville County,,,
2130,REPUB,,,
2182,"Residuals Management Services, Inc.",,,
2183,Resource Authority in Sumner County (RASCO),,,
2184,Resource Management Companies,,,
2185,"Resource Recovery Technologies, LLC",,,
2186,Revolution Recovery,,,
2187,Rice County,,,
2188,Rich County,,,
2189,"Richard Carrier Trucking, Inc.",,,
2190,Richard S. Burns & Sons Inc,,,
2191,"Richfield Management, LLC",,,
2192,Richland County,,,
2193,Richmond County,,,
2194,Ricks Trash Service,,,
2195,Riley & Stone Recycling Co,,,
2196,Rio Blanco County,,,
2197,Rio Grande County,,,
2131,RIRRC,,,
2198,Rivanna Solid Waste Authority (RSWA),,,
2199,"River Birch, Inc.",,,
2200,River City Waste Recyclers,,,
2201,"Riverbend Environmental Services, LLC",,,
2202,Riverline Recycling,,,
2203,Riverside County,,,
2204,"Rizzo Associates, Inc.",,,
2132,RLH Sanitation Inc.,,,
2205,Road Runner Waste Service Inc,,,
2206,Roane County,,,
2207,Roanoke Valley Resource Authority,,,
2208,"Robert B. Our Co., Inc.",,,
2209,Robert Childs Inc.,,,
2210,Roberts County,,,
2211,Robertson County,,,
2212,Robeson County,,,
2133,ROCK,,,
2213,Rock County,,,
2214,Rockbridge County,,,
2215,Rockingham County,,,
2216,Rockland County Solid Waste Management Authority,,,
2217,Rocky Mountain Recycling,,,
2218,"Rodgers Brothers Service, Inc.",,,
2219,"Rogue Disposal & Recycling, Inc.",,,
2221,Rolloff Recycling Center LLC,,,
2220,"Roll-Off Service, L.L.C.",,,
2222,Rome Floyd County Recycling Center,,,
2223,Rome-Floyd SW Management Commission,,,
2224,Rooks County,,,
2225,Roosevelt Township,,,
2226,"Rose Hill Landfill, LLC",,,
2227,Roseau County,,,
2228,Rosebud County,,,
2229,Rowan County,,,
2230,Roy Strom Company,,,
2231,Royal Carting Co Inc,,,
2232,Royal Carting Service,,,
2233,Royal Heights Transfer Station,,,
2234,Royal Paper Stock,,,
2134,"RSI Leasing, Inc.",,,
2235,Rubble Bee Recycling,,,
2135,RUMPK,,,
2236,Rural Iowa Waste Management Association,,,
2237,Rush County,,,
2238,Russell County,,,
2240,"Russo and Sons, Inc.",,,
2239,Russo Dumpster Rental,,,
2241,Rutherford County,,,
2242,S & B Rolloff Inc,,,
2243,S & J Exco Inc.,,,
2244,S & L Zeppetelli Inc,,,
2245,"S&M Prompt Rubbish Removal, Inc.",,,
2246,S&P Carting Service Inc.,,,
2247,S.B. Cox Demolition Contractors,,,
2261,Sac County Solid Waste Agency,,,
2262,Sacramento County,,,
2263,Saguache County,,,
2264,Saint Clair County,,,
2265,Saint Louis County,,,
2266,Saint Regis Mohawk Tribe,,,
2267,Sakoutis Brothers Disposal,,,
2268,Salem County Improvement Authority,,Stop here,
2269,Salem Township,,,
2270,Salinas Valley Solid Waste Authority,,,
2271,Salt Creek Joint Powers Board,,,
2272,Salt Lake County,,,
2273,Salt River-Pima-Maricopa Indian Community,,,
2274,San Joaquin County,,,
2275,San Juan County,,,
2276,San Juan Transfer Station,,,
2277,San Miguel County,,,
2278,"Sander Sanitation Service, Inc.",,,
2279,Sanders County Waste Refuse District,,,
2280,Sandoval County,,,
2281,Sanitary Disposal Inc,,,
2282,Sanitary District No. 1,,,
2283,"Sanitary Service Company, Inc. (SSC)",,,
2284,Sanitation Service Inc,,,
2285,"Sanitation Solutions, Inc.",,,
2286,Sanpete County,,,
2287,Santa Barbara County,,,
2288,Santa Cruz County,,,
2289,Santa Fe County,,,
2290,Santa Fe Solid Waste Management Agency,,,
2291,"Santa Maria Transfer Station, Inc",,,
2292,Santa Rosa County,,,
2248,SANTK,,,
2293,Saratoga County,,,
2294,Sarnago & Sons Recycling & Materials,,,
2295,Scofield Transfer and Recycling Inc,,,
2296,Scotland County,,,
2297,Scott County,,,
2298,Seaboard / Marion Oil Recovery,,,
2299,Seaman Construction Inc.,,,
2300,"Second Nature Recycling, Inc.",,,
2301,Sedgwick County,,,
2302,"Sedona Recycles, Inc.",,,
2303,Seeley Lake Refuse District,,,
2304,Select Recycling Waste Services (SRWS),,,
2305,Selk Sanitation,,,
2306,Selma Disposal & Recycling Inc.,,,
2307,Seminole County,,,
2308,"Seminole Sanitation, Inc.",,,
2309,Seneca Sanitation Inc.,,,
2310,Serv-All (Republic Services),,,
2311,Sevier County,,,
2312,Seward County,,,
2313,Seymour Sand & Stone,,,
2314,Shamrock Disposal & Shamrock Recycling & Transfer,,,
2315,"Shanks Enterprise, Inc.",,,
2316,Sharkey County,,,
2317,Shawano County,,,
2318,Shelby County,,,
2319,Shelbyville Disposal Service Inc.,,,
2320,Shelter Island Sand Gravel & Contracting Inc,,,
2321,Shenandoah County,,,
2322,Sherborn Transfer Station,,,
2323,Sheridan County,,,
2324,Sherman County,,,
2325,Shoals Solid Waste Authority,,,
2249,SHOOS,,,
2326,Shoshone County,,,
2327,Shoshone-Paiute Tribes,,,
2328,Shotwell Transfer Apex LLC,,,
2329,Shotwell Transfer Garner LLC,,,
2330,Sickles Sanitation,,,
2331,Sierra Contracting Co,,,
2332,Sierra County,,,
2333,Sierra Pacific Industries,,,
2334,Sierra Processing LLC,,,
2335,Sierra Recyc Inc,,,
2336,Silvarole Material Recovery Facility,,,
2337,Silver Bow County,,,
2338,Silver Creek Materials,,,
2339,"Silver Mountain Disposal, LLC",,,
2340,Simi Valley Recycling Center,,,
2341,Simko Recycling,,,
2342,Simmons Sanitation and Recycling,,,
2343,Simpson County,,,
2250,SIMS,,,
2344,"Sims Brothers, Inc.",,,
2345,"Siouxland Recovery, Inc.",,,
2346,Siskiyou County,,,
2347,Skagit County,,,
2348,Skamania County,,,
2349,Smith County,,,
2350,Smith Industries,,,
2351,Smyth County,,,
2352,"Snake River Rubbish, LLC",,,
2353,Snohomish County,,,
2354,Snowy River Enterprises LLC,,,
2355,Socorro County,,,
2356,Soft Drink Association of Alabama,,,
2357,Solid Waste Agency of Northern Cook County,,,
2358,Solid Waste Agency of Northwest Nebraska (SWANN),,,
2359,Solid Waste Authority of Central Ohio (SWACO),,,
2360,Solid Wastes of Willits Inc.,,,
2361,Somerset County,,,
2251,SON,,,
2362,Sonny's Solid Waste Services Inc,,,
2363,"Soundside Recycling & Materials, Inc.",,,
2364,South Central Iowa Landfill Agency,,,
2365,South Central Iowa Solid Waste Agency,,,
2366,South Central Recycling,,,
2367,South Central Solid Waste Authority (SCSWA),,,
2368,South Dallas County Landfill Association,,,
2369,South Lake Refuse and Recycling,,,
2370,"South Tahoe Refuse Co., Inc.",,,
2371,"South Texas Refuse Disposal, Inc.",,,
2372,South Utah Valley Solid Waste District,,,
2373,Southard's Recycling,,,
2374,Southeast Berrien County Landfill Authority,,,
2375,Southeast Kansas Recycling Inc.,,,
2376,Southeast Multi-County (SEMCO),,,
2377,Southeast Oakland County Res Rec Auth,,,
2378,Southeast Resource Recovery,,,
2379,Southeast Resource Recovery Facility (SERRF) JPA,,,
2380,Southeast Waste Disposal,,,
2381,Southeastern Chester County Refuse Authority,,,
2382,Southeastern Indiana Recycling District,,,
2383,Southeastern Recycling Corporation,,,
2384,Southern California Disposal,,,
2385,Southern Central Waste Services LLC,,,
2386,Southern Disposal Service,,Both are different.  Changed one of them,Fixed
2387,Southern Disposal Services,,,
2388,Southern Idaho Regional Solid Waste,,,
2389,"Southern Oklahoma Regional Disposal, Inc. (SORD)",,,
2390,Southern Oregon Sanitation,,,
2391,Southern Recycling,,,
2392,Southern Recycling Industries,,,
2393,Southern Refuse & Recycling,,,
2394,Southern Scrap Company Inc.,,,
2395,"Southern Scrap, Inc. (Williams Recycling)",,,
2396,Southern Tier Recyclers Inc,,,
2397,"Southern Tier Recyclers, Inc.",,,
2398,Southern Waste Systems,,,
2399,"Southern Waste Systems, LLC",,,
2400,Southland Disposal Company,,,
2401,"Southport Rail & Transfer, LLC",,,
2402,Southside Regional Public Service Authority,,,
2403,"Southwaste Services, Inc.",,,
2404,Southwest Disposal,,,
2405,Southwest Landfill,,,
2406,"Southwest Paper Stock, Inc.",,,
2407,Spartanburg County,,,
2408,Specialty Solid Waste & Recycling,,,
2409,Spectra Recycling,,,
2410,Spectrum Industries Recycling,,,
2411,Spotsylvania County,,,
2252,SPREC,,,
2412,Sprint Waste Services,,,
2253,SPSA Southeastern Public Service Auth,,,
2254,SRC Recycling Center,,,
2255,SRCL,,,
2256,"SRS Investment Management, LLC",,,
2413,St Landry Parish,,,
2414,St Lawrence County,,,
2415,St Mary's County,,,
2257,ST Paper LLC,,,
2258,ST Tissue LLC,,,
2416,St. Francois County,,,
2417,St. Johns County Solid Waste,,,
2418,St. Lucie County,,,
2419,St. Mary Parish Council,,,
2420,Staiman Recycling,,,
2421,Stanislaus County,,,
2422,Stanley Kent Martin TS,,,
2423,Stanton County,,,
2424,Starr County,,,
2426,State of Maine,,,
2425,State Paper and Metal,,,
2427,Stavola Bound Brook Asphalt/Recycle,,,
2428,Stavola Old Bridge Asphalt/Recycle,,,
2429,Stavola Tinton Falls Asphalt/Recycle,,,
2430,Steele County,,,
2431,Sterling County,,,
2432,"Sterling Recycling, Inc.",,,
2433,Steuben County,,,
2434,Stevens County,,,
2435,Stillwater County Solid Waste District,,,
2436,Stockton Recycling & Transfer,,,
2437,Stokes County,,,
2438,Stone County Transfer Station,,,
2439,Stony Creek Industries,,,
2440,Stranco Solid Waste Management LLC,,,
2441,"Strategic Material, Inc.",Get rid of the extra s in one of the company names,Different letter of s,Fixed
2442,Strategic Materials Inc,,,
2443,"Stuart W. Bates, Inc.",,,
2444,Sublette County,,,
2445,Sullivan County,,,
2446,Summit County,,,
2447,Sumter County,,,
2448,Sun Services LLC,,,
2449,"Sun Valley Paper Stock, Inc.",,,
2450,Sunrise Disposal,Will be fixed getting rid of inc,,Fixed
2451,Sunrise Disposal Inc,,,
2452,Sunshine Disposal & Recycling,,,
2453,Sunshine Recycling,,,
2454,Sunstream Corporation,,,
2455,Super Cycle/Recycle Minnesota Resources,,,
2456,Super Recycling Center,,,
2457,Surrey Township,,,
2458,Surry County,,,
2459,Susquehanna County,,,
2460,Sussex County Municipal Utilities Authority,,,
2461,Sutter's Sanitation Services,,,
2462,Suwannee County,,,
2463,Swain County,,,
2464,Swarthout Recycling LLC,,,
2259,SWeeDee,,,
2465,Sweetwater County Solid Waste Disposal District,,,
2466,Swift County,,,
2467,Swinger Sanitation,,,
2260,SYGR,,,
2468,Syracuse Recycling & Recovery,,,
2469,T&S Trash Services,,,
2470,T. Fiore Recycling Corp.,,,
2471,T. W. Nickerson Inc.,,Get rid of Inc.,Fixed
2472,"T. W. Nickerson, Inc.",,,
2473,"T.M. Maintenance, Inc.",,,
2479,Tahoe Truckee Sierra Disposal Company,,,
2480,"Talco Plastics, Inc.",,,
2481,Tama County,,,
2482,Tamaqua Transfer Station,,,
2483,Taney County,,,
2484,Tangipahoa Parish,,,
2485,Taos County,,,
2486,"Taylor Garbage Service, Inc.",,,
2487,"Taylor Recycling Facility, LLC",,,
2488,Taylor Recycling Inc.,,,
2489,Tazewell County,,,
2474,TDS Collection and Environmental Services,,,
2475,TDS Development LLC,,,
2490,Ted heaps Container Service,,,
2491,Tehama County,,,
2492,Telfair County,,,
2493,Ten Sleep Solid Waste District,,,
2494,Terrebonne Parish Consolidated Government,,,
2495,Teton County,,,
2496,Texas TDMHMR,,,
2497,"Texoma Area Solid Waste Authority, Inc.",,,
2498,The Confederated Tribes of the Colville Reservation,,,
2499,The Hayes Companies,,,
2500,The Master Garbologist,,,
2501,The Mulch Store,,,
2502,"The Occupational Training Center of Burlington County, Inc.",,,
2503,The Recycling Foundation,,,
2504,Thomas Novelli Contracting Corp.,,,
2505,Thomasian Contractor Company,,,
2506,Thompson Springs Landfill,,,
2507,Thompson's Sanitary Service,,,
2508,Thousand Island Park Corporation,,,
2509,Three R Grading Wood Chipping,,,
2510,Three Rivers Solid Waste Authority,,,
2511,"Ticonderoga Farms, Inc.",,,
2512,Tidewater Fiber Corp.,,,
2513,Tidewater Fibre Corp.,,,
2514,Tilcon New York Inc.,,,
2515,Tishomingo County,,,
2516,Todd County,,,
2517,Tom Berkowitz Trucking Inc.,,,
2518,Tonto Basin Sanitation,,,
2519,Tooele County,,,
2520,Toombs County,,,
2521,Tostenson Inc,,,
2522,Total Compliance Management,,,
2523,"Total Disposal, Inc",,,
2524,Total Recycling,,,
2525,"Touby Pike Recycling Center, LLC",,,
2526,Town & Country Environmental Transfer Station,,,
2527,"Town and Country Sanitation, Inc.",,,
2528,Town of Abbot Village,,,
2529,Town of Acton,,,
2530,Town of Acushnet,,,
2531,Town of Acworth,,,
2532,Town of Adams,,,
2533,Town of Alburgh,,,
2534,Town of Alexandria,,,
2535,Town of Alexandria Bay,,,
2536,Town of Alford,,,
2537,Town of Alfred,,,
2538,Town of Alton,,,
2539,Town of Amenia,,,
2540,Town of Amherst,,,
2541,Town of Amherst Refuse Control,,,
2542,Town of Amsterdam,,,
2543,Town of Andes,,,
2544,Town of Andover,,,
2545,Town of Ansonia,,,
2546,Town of Ashburnham,,,
2547,Town of Ashby,,,
2548,Town of Ashford,,,
2549,Town of Ashland,,,
2550,Town of Athens,,,
2551,Town of Athol,,,
2552,Town of Augusta,,,
2553,Town of Avon,,,
2554,Town of Ayer,,,
2555,Town of Baie Verte,,,
2556,Town of Baileyville,,,
2557,Town of Baldwin,,,
2558,Town of Bar Harbor,,,
2559,Town of Barnard,,,
2560,Town of Barnes,,,
2561,Town of Barnstable,,,
2562,Town of Batavia,,,
2563,Town of Beacon Falls,,,
2564,Town of Becket,,,
2565,Town of Bedford,,,
2566,Town of Belchertown,,,
2567,Town of Belgrade,,,
2568,Town of Bennington,,,
2569,Town of Benson,,,
2570,Town of Bergen,,,
2571,Town of Berkley,,,
2572,Town of Berlin,,,
2573,Town of Berne,,,
2574,Town of Bethany,,,
2575,Town of Bethel,,,
2576,Town of Bethlehem,,,
2577,Town of Biddeford,,,
2578,Town of Bingham,,,
2579,Town of Black River Falls,,,
2580,Town of Blandford,,,
2581,Town of Bolton,,,
2582,Town of Boscawen,,,
2583,Town of Boulder,,,
2584,Town of Bourne,,,
2585,Town of Bovina,,,
2586,Town of Bowdoinham,,,
2587,Town of Boxborough,,,
2588,Town of Bozrah,,,
2589,Town of Bradford,,,
2590,Town of Branford,,,
2591,Town of Brewster,,,
2592,Town of Bridgewater,,,
2593,Town of Bridgton,,,
2594,Town of Bristol,,,
2595,Town of Brookfield,,,
2596,Town of Brookhaven,,,
2597,Town of Brookline,,,
2598,Town of Brooklyn,,,
2599,Town of Brooks,,,
2600,Town of Broome,,,
2601,Town of Brownfield,,,
2602,Town of Brunswick,,,
2603,Town of Buckfield,,,
2604,Town of Bucksport,,,
2605,Town of Burnham,,,
2606,Town of Burrillville,,,
2607,Town of Busti,,,
2608,Town of Buxton,,,
2609,Town of Byron,,,
2610,Town of Caledonia,,,
2611,Town of Canaan,,,
2612,Town of Canandaigua,,,
2613,Town of Candia,,,
2614,Town of Canterbury,,,
