"","Code","Type","Family","Facility Name","Permit","Map Label","Location","City","County","State","Zip","Longitude","Latitude","Access","Waste Shed","Operating Days & Hours","Days /Year","Acres","Total of All Wastes (tons/day)","Volume Description","Principal Waste (tons/day)","Principal Waste Description","$/ Ton","Tip Fee Description","Remaining Capacity (tons)","Start Date","Close Date","Ownership","Owner Entity","Owner Code","Owner Contact","Owner Title","Owner Department","Owner Address 1","Owner Address 2","Owner Phone","Owner Fax","Owner Email","Operation","Operator Entity","Operator Code","Operator Contact","Operator Title","Operator Department","Operator Address 1","Operator Address 2","Operator Phone","Operator Fax","Operator Email","Waste Types Accepted","Waste Types NOT Accepted"
"64","GA0528","TS","TS","Carey Station Transfer Station","PBR-066-011TS","GA-127","2870 Carey Station Road","Greensboro","Greene","GA","30642",-83.256991,33.539749,"Highway","Exclusive or Captive","Private Accounts Only (24/7)",260,0,63,"63 TPD",63,"MSW: 25-100 TPD",44,"MSW: $44.00 /Ton",0,NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Jared Lovett","District Manager","Carey Station Transfer Station","2870 Carey Station Road","Greensboro, GA  30642","(478) 453-4435",NA,"jlovett@advanceddisposal.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Mike Cavan","General Manager","Carey Station Transfer Station","2870 Carey Station Road","Greensboro, GA  30642","(478) 453-4435",NA,"michael.cavan@advanceddisposal.com","MSW",NA
"65","GA0497","TS","TS","Cartersville Transfer Station","PBR-008-24COL,TS","GA-130","125 Riverside Drive","Cartersville","Bartow","GA","30120",-84.847187,34.143295,"Highway",NA,"Mon-Fri 7am-4pm",260,0,300,"300 TPD",300,"MSW: 100-500 TPD",38,"MSW: $38.00 /Ton",0,NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Charles N. Gray","Regional Vice President",NA,"10169 Lakewood Highway","Mineral Bluff, GA  30559","(706) 632-2110",NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH",NA,NA,"Riverside Transfer Station","125 Riverside Drive","Cartersville, GA  30120","(678) 792-7000","(678) 792-7011",NA,"C&D Waste, MSW",NA
"66","GA0529","TS","TS","Central Gwinnett Transfer Station","PBR-067-787TS","GA-132","535 Seaboard Industrial Drive","Lawrenceville","Gwinnett","GA","30045",-83.969402,33.969101,"Highway",NA,"Mon-Fri 6:30am-3:30pm",260,0,63,"63 TPD",63,"MSW: 25-100 TPD",48.86,"MSW: $48.86 /Ton",0,NA,NA,"Private","ADS Waste Holdings, Inc.","AIGH",NA,NA,NA,NA,NA,NA,NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH",NA,NA,"Central Gwinnett Transfer Station","535 Seaboard Industrial Drive","Lawrenceville, GA  30045","(770) 237-8477",NA,NA,"C&D Waste, MSW",NA
"67","GA0522","TS","TS","Columbia Road Transfer Station","PBR-036-19C0,TS","GA-143","5734 Columbia Road","Grovetown","Columbia","GA","308135114",-82.245299,33.518642,"Highway",NA,"Mon-Fri 8am-5pm, Sat 7am-1pm",312,0,63,"63 TPD",63,"MSW: 25-100 TPD",40.5,"MSW: $40.50 /Ton",0,NA,NA,"Private","Advanced Disposal Services Augusta, LLC","AIGH","V Forrester",NA,NA,"1799 Marvin Griffin Road","Augusta, GA  30906","(706) 790-7920","(706) 560-6382","vforrester@advanceddisposal.com","Private","Advanced Disposal Services Augusta, LLC","AIGH","Mr. John Gordon","Site Manager","Columbia Road Transfer Station","5734 Columbia Rd","Grovetown, GA  30813","(706) 447-3914",NA,NA,"C&D Waste, MSW","Non-Friable Asb., Medical Waste, Tires"
"68","GA0498","TS","TS","Doraville C&D Transfer Station","PBR-044-146TS","GA-155","2784 Woodwin Road","Atlanta","Dekalb","GA","30360",-84.274568,33.917831,"Highway",NA,"Mon-Fri 5am-5pm, Sat 5am-12pm",312,0,63,"63 TPD",63,"MSW: 25-100 TPD",39.19,"MSW: $39.19 /Ton",0,NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Charles N. Gray","Regional Vice President",NA,"10169 Lakewood Highway","Mineral Bluff, GA  30559","(706) 632-2110",NA,NA,"Private","ADS Waste Holdings, Inc.","AIGH",NA,NA,NA,NA,NA,"(770) 451-4300","(770) 451-2355",NA,"C&D Waste, MSW",NA
"69","GA0496","TS","TS","Ellijay Transfer Station","PBR-061-03TS","GA-161","114 Progress Road","Ellijay","Gilmer","GA","30540",-84.499583,34.664522,"Highway",NA,"Mon-Fri 8am-4pm",260,0,63,"63 TPD",63,"MSW: 25-100 TPD",49,"MSW: $49.00 /Ton",0,NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Charles N. Gray","Regional Vice President",NA,"10169 Lakewood Highway","Mineral Bluff, GA  30559","(706) 632-2110",NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Ms. Judy Paine","Manager","Ellijay Transfer Station","114 Progress Road","Ellijay, GA  30540","(706) 635-6519","(706) 632-3347","modekirk@advanceddisposal.com","C&D Waste, MSW","Tires"
"70","GA0499","TS","TS","Hall County Transfer Station","PBR-069-49TS","GA-175","1 Ruby St","Gainesville","Hall","GA","30501",-83.83955,34.26982,"Highway",NA,"Mon-Fri 5:30am-4pm, Sat 7am-12pm",312,0,0,NA,0,NA,0,NA,0,2008-12-16,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Charles N. Gray","Regional Vice President",NA,"10169 Lakewood Highway","Mineral Bluff, GA  30559","(706) 632-2110",NA,NA,"Private","ADS Waste Holdings, Inc.","AIGH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","GA0530","TS","TS","Hurst Road Transfer Station","PBR-150-06TS","GA-181","305 McNeely Lane","Tennille","Washington","GA","31089",-82.840783,32.83125,"Highway","Exclusive or Captive","For the exclusive use by the company",260,0,63,"63 TPD",63,"MSW: 25-100 TPD",45,"MSW: $45.00 /Ton",0,NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Jared Lovett","District Manager","Carey Station Transfer Station","2870 Carey Station Road","Greensboro, GA  30642","(478) 453-4435",NA,"jlovett@advanceddisposal.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Mike Cavan","General Manager","Hurst Road Transfer Station","305 McNeely Lane","Tennille, GA  31089","(478) 453-4435",NA,"michael.cavan@advanceddisposal.com","MSW",NA
"72","GA0531","TS","TS","Jackson Transfer Station","PBR-018-08TS","GA-183","120 Rodeo Drive","Jackson","Butts","GA","30233",-83.928852,33.286849,"Highway",NA,"Mon-Thu 6am-5pm, Fri 6am-4pm",260,0,63,"63 TPD",63,"MSW: 25-100 TPD",40,"MSW: $40.00 /Ton",0,NA,NA,"Private","ADS Waste Holdings, Inc.","AIGH",NA,NA,NA,NA,NA,NA,NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Jason Spicer","Operations Manager","Jackson Transfer Station","120 Rodeo Drive","Jackson, GA  30233","(770) 775-1001",NA,NA,"MSW",NA
"73","GA0533","TS","TS","Madison Transfer Station",NA,"GA-196","1240 Lions Club Road","Madison","Morgan","GA","30650",-83.48827,33.564729,"Highway",NA,"Mon-Fri 7am-5pm",260,0,63,"63 TPD",63,"MSW: 25-100 TPD",37,"MSW: $37.00 /Ton",0,NA,NA,"Private","ADS Waste Holdings, Inc.","AIGH",NA,NA,NA,NA,NA,NA,NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH",NA,NA,"Madison Transfer Station","1240 Lions Club Road","Madison, GA  30650","(706) 342-8900",NA,NA,"MSW",NA
"74","GA0341","TS","TS","Middle Georgia Transfer Station","PBR-005-12TS","GA-204","154 Dundee Drive","Milledgeville","Baldwin","GA","31061",-83.207549,33.118687,"Highway","County/Metro.","Mon-Fri 8am-5pm",260,10,0,NA,0,NA,52.1,"MSW: $52.10 /Ton",0,NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Mike Cavan","General Manager",NA,"154 Dundee Drive","Milledgeville, GA  31061","(478) 453-4435",NA,"michael.cavan@advanceddisposal.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Mike Cavan","General Manager",NA,"154 Dundee Drive","Milledgeville, GA  31061","(478) 453-4435",NA,"michael.cavan@advanceddisposal.com","C&D Waste, Indust. Waste, MSW, Yard Waste","Non-Friable Asb., Tires"
"75","GA0445","TS","TS","Smyrna Transfer Station","PBR-033-61TS","GA-231","4696 S Cobb Dr SE","Smyrna","Cobb","GA","300806952",-84.495467,33.839171,"Highway",NA,"Mon-Fri 7am-4pm",260,0,300,"300 TPD",300,"MSW: 100-500 TPD",42.6,"MSW: $42.60 /Ton",0,NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Brett Shows","General Manager",NA,"4696 S Cobb Dr SE","Smyrna, GA  30080-6952","(770) 436-6126",NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Brett Shows","General Manager",NA,"4696 S Cobb Dr SE","Smyrna, GA  30080-6952","(770) 436-6126","(770) 436-3373",NA,"C&D Waste, MSW",NA
"76","GA0375","TS","TS","Union County Transfer Station","PBR-144-20TS","GA-247","1226 Deep South Farm Road","Blairsville","Union","GA","30512",-83.958323,34.893752,"Highway","County/Metro. Exclusive","Mon-Fri 7am-4pm, Sat 7am-12pm",312,0,18,"18 TPD",18,"MSW: 18 TPD",46,"MSW: $46.00 /Ton",0,1997-03-18,NA,"Private","Union County","AIGH","Mr. Lynn Holbrooks","Manager","Transfer Station","114 Courthouse Road, Bos 1","Blairsville, GA  30512","(706) 745-1409",NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Charles N. Gray","Regional Vice President",NA,"10169 Lakewood Highway","Mineral Bluff, GA  30559","(706) 632-2110","(706) 835-2865",NA,"C&D Waste, MSW, Yard Waste",NA
"77","GA0444","TS","TS","Welcome All Transfer Station","PBR-060-216TS","GA-254","5225 Welcome All Road","College Park","Fulton","GA","30349",-84.526043,33.613167,"Highway",NA,"Mon-Fri 12am-4:30pm, Sat 3am-12pm",312,0,0,NA,0,NA,32,"MSW: $32.00 /Ton",0,NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Charles N. Gray","Regional Vice President",NA,"10169 Lakewood Highway","Mineral Bluff, GA  30559","(706) 632-2110",NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Gerald Allen",NA,"Welcome All Transfer Station","5225 Welcome All Road","Atlanta, GA  30349","(404) 761-7790","(404) 763-4001","gallen@eaglepointlandfill.com","MSW",NA
"78","GA0534","TS","TS","White County Transfer Station","PBR-154-03TS","GA-257","670 Industrial Blvd.","Cleveland","White","GA","305286733",-83.742728,34.521797,"Highway",NA,"Mon-Fri 9am-4:45pm, Sat 9am-3:45pm",312,0,0,NA,0,NA,0,NA,0,NA,NA,"Private","ADS Waste Holdings, Inc.","AIGH",NA,NA,NA,NA,NA,NA,NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH",NA,NA,"White County Transfer Station","670 Industrial Blvd.","Cleveland, GA  30528-6733","(706) 865-3716",NA,"bbright@advanceddisposal.com",NA,NA
"79","IL0427","TS","TS","Advanced Disposal Batavia Transfer",NA,"IL-44","766 Hunter Drive","Batavia","Kane","IL","60510",-88.2747,41.86161,"Highway",NA,"Mon-Fri 6am-5pm, Sat 6am-10am",312,0,300,"300 TPD",300,"MSW: 100-500 TPD",61,"MSW: $61.00 /Ton",0,NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Tom Maher","General Manager","Batavia Transfer Station","766 Hunter Drive","Batavia, IL  60510","(630) 879-3587","(630) 879-3651",NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Tom Maher","General Manager","Batavia Transfer Station","766 Hunter Drive","Batavia, IL  60510","(630) 879-3587","(630) 879-3651",NA,"C&D Waste, MSW",NA
"80","IL0467","TS","TS","Advanced Disposal Charleston Transfer Station","0298050007","IL-45","6111 West State Street","Charleston","Coles","IL","61920",-88.176,39.4875,"Highway, Waterway","County/Metro.","Mon-Fri 7am-3pm",260,0,300,"300 TPD",300,"MSW: 100-500 TPD",62.31,"MSW: $62.31 /Ton",0,2009-04-30,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Chris Rooney","Area Manager",NA,"6111 West State Street","Charleston, IL  61920","(217) 345-7414",NA,"chris.rooney@veoliaes.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Chris Rooney","Area Manager",NA,"6111 West State Street","Charleston, IL  61920","(217) 345-7414","(217) 345-7441","chris.rooney@veoliaes.com","C&D Waste, MSW","Recyclables, Sludge, Tires"
"81","IL0163","TS","TS","Advanced Disposal Evanston Transfer Station","0310810003/1984-002-DE/OP","IL-46","1711 Lyons Street","Evanston","Cook","IL","60201",-87.696761,42.050229,"Highway","County/Metro.","Mon-Fri 6:30am-3:30pm, Sat 6:30am-11am",312,2,578.78,"578 TPD",578.78,"MSW: 578 TPD",72.75,"MSW: $72.75 /Ton",0,1984-04-15,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Brian Strong","General Manager","Evanston Transfer Station","1711 Lyons Street","Evanston, IL  60201","(847) 328-3427","(847) 272-9610",NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Brian Strong","General Manager","Evanston Transfer Station","1711 Lyons Street","Evanston, IL  60201","(847) 328-3427","(847) 272-9610",NA,"C&D Waste, MSW","Tires, Appliances, Yard Waste"
"82","IL0289","TS","TS","Advanced Disposal Melrose Park Transfer Station","0311865042","IL-47","4612 West Lake Street","Melrose Park","Cook","IL","60160",-87.882061,41.89693,"Highway","County/Metro. Exclusive","Mon-Fri 5am-5pm, Sat 6am-11am",312,4,300,"300 TPD",300,"MSW: 100-500 TPD",65,"MSW: $65.00 /Ton",0,1998-02-26,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Anthony Coco",NA,"Melrose Park Transfer Station","4700 West Lake Strett","Melrose Park, IL  60160","(708) 345-7735","(708) 345-8620","anthony.coco@veoliaes.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Dick Hoving",NA,NA,"4700 West Lake Street","Melrose Park, IL  60160","(708) 345-7735","(708) 345-8620",NA,"C&D Waste, MSW, Yard Waste",NA
"83","IL0270","TS","TS","Advanced Disposal Northbrook Transfer Station","0312073004/1980-025-OP","IL-48","2750 Shermer Road","Northbrook","Cook","IL","60062",-87.829465,42.10331,"Highway","Regional Waste District","Mon-Fri 6:30am-3:30pm",312,1,463.02,"463 TPD",463.02,"MSW: 463 TPD",74.75,"MSW: $74.75 /Ton",0,1981-03-15,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Ben Dykstra","General Manager","Northbrook Transfer Station","2750 Shermer Road","Northbrook, IL  60062","(847) 272-4145","(847) 272-9610","ben.dykstra@veoliaes.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Ben Dykstra","General Manager","Northbrook Transfer Station","2750 Shermer Road","Northbrook, IL  60062","(847) 272-4145","(847) 272-9610","ben.dykstra@veoliaes.com","C&D Waste, Rubble, MSW, Recyclables, Yard Waste",NA
"84","IL0271","TS","TS","Advanced Disposal Rolling Meadows Transfer Station","0312730009/1989-31-DE/OP","IL-49","3851 Berdnick Street","Rolling Meadows","Cook","IL","60008",-88.026881,42.101902,"Highway","County/Metro.","Mon-Fri 6am-4pm, Sat 6am-9am",312,3,708.23,"708 TPD",708.23,"MSW: 708 TPD",66,"MSW: $66.00 /Ton",0,1998-12-01,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Marco Dukic","General Manager","Rolling Meadows Transfer Station","3851 Berdnick Street","Rolling Meadows, IL  60008","(847) 776-7529","(847) 776-7817",NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Marco Dukic","General Manager","Rolling Meadows Transfer Station","3851 Berdnick Street","Rolling Meadows, IL  60008","(847) 776-7529","(847) 776-7817",NA,"C&D Waste, Rubble, MSW, Shingles, Truck Tires, Tires, Wood","Appliances, Yard Waste"
"85","IL0315","TS","TS","Advanced Disposal Roscoe Transfer Station","2010400008","IL-50","13125 North Second Street","Roscoe","Winnebago","IL","610738227",-89.017841,42.443814,"Highway","County/Metro.","Mon-Fri 7am-3:30pm, Sat 7am-11am",312,0,244.75,"244 TPD",244.75,"MSW: 244 TPD",64.66,"MSW: $64.66 /Ton",0,1984-01-01,NA,"Private","ADS Waste Holdings, Inc.","AIGH",NA,NA,NA,NA,NA,NA,NA,NA,"Private","One Source Recycling Inc","AIGH","Mr. Greg Kaminski","General Manager",NA,"13125 North 2nd Street","Roscoe, IL  61073-8227","(815) 389-6563","(815) 389-6463",NA,"C&D Waste, MSW, Shingles, Yard Waste","Freon Appl."
"86","IN0260","TS","TS","Advanced Disposal Evansville Transfer Station","82-20","IN-50","12900 Warrick County Line Road, .5 mi N of Booneville-New Harmony Rd.","Evansville","Vanderburgh","IN","47711",-87.474786,38.094013,"Highway",NA,"Mon-Fri 7am-3:30pm, Sat 7am-11am",312,0,416.44,"416 TPD",389.09,"MSW: 389 TPD",60,"MSW: $60.00 /Ton",0,NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Danny Elpers","General Manager",NA,"3726 East State Road 64","Winslow, IN  47598","(812) 789-2647","(812) 867-2899","dan.elpers@veoliaes.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Danny Elpers","General Manager","Evansville Transfer Station","12800 Warrick County Line Rd","Evansville, IN  47711-9789","(812) 867-1014","(812) 867-2899","dan.elpers@veoliaes.com","C&D Waste, Indust. Waste, MSW, Truck Tires, Tractor Tires, Tires",NA
"87","MI1610","TS","TS","Advanced Disposal Dearborn Transfer Station","8405","MI-57","3051 Schaefer Road","Dearborn","Wayne","MI","48126",-83.176364,42.305753,"Highway",NA,"Mon-Fri 8am-4:30pm, Sat 7am-11:30pm",312,6,300,"300 TPD",300,"MSW: 100-500 TPD",50,"MSW: $50.00 /Ton",0,1996-10-14,NA,"Private","ADS Waste Holdings, Inc.","AIGH",NA,NA,NA,NA,NA,NA,NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Mike Merton","Facility Manager","Dearborn Transfer Station","3051 Schaefer Road","Dearborn, MI  48126","(313) 436-8333","(313) 436-3008","thomas.zaracki@veoliaes.com","C&D Waste, Indust. Waste, Rubble, MSW, Wood",NA
"88","MI1706","TS","TS","Advanced Disposal Roseville Transfer Station","8352","MI-58","28315 Groesbeck Hwy","Roseville","Macomb","MI","480662328",-82.961621,42.506569,"Highway","County/Metro.","Mon-Fri 7am-3:30pm",260,11,63,"63 TPD",63,"MSW: 25-100 TPD",41,"MSW: $41.00 /Ton",0,1996-03-22,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Dave Rettell","General Manager","Arbor Hills Landfill","10690 West Six Mile Road","Northville, MI  48167","(248) 349-3215","(248) 349-5634","dave.rettell@veoliaes.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Ralph Rubikowski","Site Manager","Roseville Transfer Station","28315 Groesbeck Hwy","Roseville, MI  48066","(586) 774-9108","(586) 774-1568",NA,"C&D Waste, MSW","Cont. Soil, Sludge, Tires, Yard Waste"
"89","MI1737","TS","TS","Pontiac Transfer Station",NA,"MI-153","575 Collier Road","Auburn Hills","Oakland","MI","48326",-83.287359,42.692553,"Highway","County/Metro.","Mon-Fri 7:30am-4:30pm, Sat 7:30am-11:30am",312,0,328.41,"328 TPD",325.99,"MSW: 325 TPD",66,"MSW: $66.00 /Ton",0,2006-10-01,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Brian Malinowski","General Manager","Pontiac Landfill, Inc.","575 Collier Road","Auburn Hills, MI  48326","(248) 451-1570","(248) 451-9074",NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Brian Malinowski","General Manager","Pontiac Landfill, Inc.","575 Collier Road","Auburn Hills, MI  48326","(248) 451-1570","(248) 451-9074",NA,"C&D Waste, MSW, Non-haz Ash, Yard Waste",NA
"90","MO0154","TS","TS","Advanced Disposal Bethany Transfer Station","0408101","MO-22","4200 Roleke Drive","Bethany","Harrison","MO","64424",-94.01151,40.270972,"Highway","County/Metro.","Mon-Fri 8am-4:30pm",260,3,35,"35 TPD",35,"MSW: 35 TPD",53,"MSW: $53.00 /Ton",0,NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Dave Sellhorst","General Manager","Maple Hill Landfill","31226 Intrepid Rd., PO Box 389","Bevier, MO  63532","(660) 773-5459","(660) 773-6690",NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Daniel Phipps","General Manager","Bethany Transfer Station","4200 Roleke Drive","Bethany, MO  64424","(660) 425-6960",NA,NA,"C&D Waste, MSW, Recyclables",NA
"91","MO0134","TS","TS","Advanced Disposal Boonville Transfer Station","0405301","MO-23","690 Al Bersted Drive","Boonville","Cooper","MO","65233",-92.7258,38.97354,"Highway","County/Metro.","Mon-Fri 7:30am-4pm, Sat 7:30am-11:30am",312,0,60,"60 TPD",60,"MSW: 60 TPD",47.34,"MSW: $47.34 /Ton",0,1994-04-01,NA,"Public","Advanced Disposal Services, Inc.","AIGH","Mr. Dave Sellhorst","General Manager","Maple Hill Landfill","31226 Intrepid Rd., PO Box 389","Bevier, MO  63532","(660) 773-5459","(660) 773-6690",NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Jordan Rechenmacher","Operations Manager","Boonville Transfer Station","690 Al Bersted Drive","Boonville, MO  65233","(660) 882-7595",NA,NA,"C&D Waste, MSW, Yard Waste",NA
"92","MO0264","TS","TS","Advanced Disposal Moberly Transfer Station","0417501","MO-24","101 Martins Lane (CR 179)","Moberly","Randolph","MO","65270",-92.439212,39.369225,"Highway","Regional Waste District","Mon-Fri 8am-3:30pm",260,0,63,"63 TPD",63,"MSW: 25-100 TPD",52,"MSW: $52.00 /Ton",0,NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Dave Sellhorst","General Manager","Maple Hill Landfill","31226 Intrepid Rd., PO Box 389","Bevier, MO  63532","(660) 773-5459","(660) 773-6690",NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Daniel Buckley","General Manager","Moberly Transfer Station","101 Martins Lane (CR 179)","Moberly, MO  65270","(660) 773-5459",NA,"daniel.buckley@veoliaes.com","MSW, Appliances","Non-Friable Asb., Tires"
"93","MS0116","TS","TS","Biloxi Transfer Station LLC (Inactive)","SW 0240060455","MS-128","14543 Hudson Krohn Road","Biloxi","Harrison","MS","39532",-88.943433,30.498524,"Highway","Exclusive or Captive","Mon-Fri 6am-2:30pm",260,80,197.94,"197 TPD",181.94,"MSW: 181 TPD",52,"MSW: $52.00 /Ton",0,1997-10-15,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Tim Selke","Site Manager","Biloxi Transfer Station","14543 Hudson Krohn Road","Biloxi, MS  39532","(228) 328-1820",NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Tim Selke","Site Manager","Biloxi Transfer Station","14543 Hudson Krohn Road","Biloxi, MS  39532","(228) 328-1820",NA,NA,"MSW, Recyclables","C&D Waste, Cont. Soil, Yard Waste"
"94","NJ0405","TS","TS","Advanced Disposal Jersey City Transfer Station","195492","NJ-31","375 Route 1 and 9","Jersey City","Hudson","NJ","07306",-74.064137,40.739949,"Highway",NA,"Mon 12am-Sat 12am (24 Hrs/Day)",312,0,1106.51,"1,106 TPD",1047.17,"MSW: 1,047 TPD",78.5,"MSW: $78.50 /Ton",0,NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Steve Boyland","General Manager","Jersey City Transfer Station","375 Route 1 & 9 South","Jersey City, NJ  07306","(201) 830-3250","(201) 451-1144","sboyland@iswaste.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Steve Boyland","General Manager","Jersey City Transfer Station","375 Route 1 & 9 South","Jersey City, NJ  07306","(201) 830-3250","(201) 451-1144","sboyland@iswaste.com","Animal Waste, C&D Waste, MSW, Appliances, Yard Waste",NA
"95","PA0377","TS","TS","Advanced Disposal Clarion County Transfer Station",NA,"PA-65","18380 Paint Blvd.","Shippenville","Clarion","PA","16254",-79.426009,41.204776,"Highway",NA,"Mon-Fri 6am-3pm",260,0,63,"63 TPD",63,"MSW: 25-100 TPD",80,"MSW: $80.00 /Ton",0,2008-07-01,NA,"Private","ADS Waste Holdings, Inc.","AIGH",NA,NA,NA,NA,NA,NA,NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Ms. Tracy Rivers","Site Manager","Clarion County Transfer Station","18380 Paint Blvd","Shippenville, PA  16254","(814) 226-4602",NA,NA,"C&D Waste, MSW, Appliances, Yard Waste","Electronics, Tires"
"96","PA0014","TS","TS","Advanced Disposal Macungie Transfer Station","101537","PA-66","1725 Brookside Road","Macungie","Lehigh","PA","18062",-75.55509,40.55222,"Highway","County/Metro.","Mon-Fri 7am-3:30pm",260,0,220,"220 TPD",220,"MSW: 220 TPD",130,"MSW: $130.00 /Ton",0,NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Michael Reets","General Manager","McAuliffe Transfer Station","4816 Timberline Rd, PO Box 59","Walnutport, PA  18088","(610) 366-7356","(610) 767-1913","esaxton@iswaste.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Michael Reets","General Manager","McAuliffe Transfer Station","4816 Timberline Rd, PO Box 59","Walnutport, PA  18088","(610) 366-7356","(610) 767-1913","esaxton@iswaste.com","C&D Waste, MSW","Non-Friable Asb., Truck Tires, Tractor Tires, Tires, Yard Waste"
"97","PA0176","TS","TS","Advanced Disposal Warren County Transfer Station","101603","PA-68","32870 Route 6","Pittsfield","Warren","PA","16340",-79.398751,41.867276,"Highway","County/Metro.","Mon-Fri 7am-3pm",260,0,44.5,"44 TPD",32,"MSW: 32 TPD",100,"MSW: $100.00 /Ton",0,NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Edward Yahner","Area Manager","Warren County Transfer Station","32870 Route 6","Pittsfield, PA  16340","(814) 563-4225","(814) 563-4023","edward.yahner@veoliaes.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Dan Ristaw","Operations Manager","Warren County Transfer Station","32870 Route 6","Pittsfield, PA  16340","(814) 723-4360","(814) 563-4023",NA,"C&D Waste, MSW, Tires, Appliances, Yard Waste",NA
"98","WI0220","TS","TS","Advanced Disposal Germantown Transfer","03105","WI-49","N104 W13075 Donges Bay Road","Germantown","Washington","WI","53022",-88.078154,43.206311,"Highway","County/Metro.","Mon-Fri 8am-5pm",260,0,85,"85 TPD",85,"MSW: 85 TPD",66,"MSW: $66.00 /Ton",0,NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Chris Rooney","Area Manager","Onyx Waste Services Germantown","13075 Donges Bay Road","Germantown, WI  53022","(262) 242-7074","(262) 242-0709","chris.rooney@veoliaes.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Chris Rooney","Area Manager","Onyx Waste Services Germantown","13075 Donges Bay Road","Germantown, WI  53022","(262) 242-7074","(262) 242-0709","chris.rooney@veoliaes.com","C&D Waste, MSW","Yard Waste"
